id,source_file,dataset_key,series_year,period_start,period_end,period_label,jurisdiction,jurisdiction_slug,location,location_slug,age_group,age_group_slug,metric_key,metric_label,metric_group,detection_method,detection_method_slug,fines,arrests,charges,total_actions
fines-07157,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,24633,0,0,24633
fines-07158,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,30389,0,0,30389
fines-07159,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,588714,0,0,588714
fines-07160,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,13402,0,0,13402
fines-07161,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,61859,0,0,61859
fines-07162,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,3241,0,0,3241
fines-07163,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,24427,0,0,24427
fines-07164,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,52630,0,0,52630
fines-07165,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1151555,0,0,1151555
fines-07166,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,10485,0,0,10485
